name,iban,bic,amount,reference,address,favorite_store
Petit AG,DE44500105175407324931,DRESDEFF100,24610.52,Order 2026467,"Calea Victoriei 249, 31373 Stuttgart",Coop
Francisco Barbu,IT28W8000000292100645211111,UNCRITMM,26437.34,Bonus 2025378,"Hauptstrasse 303, 82182 Berlin",Esselunga
Michel Bernard,DE27100777770209299700,DEUTDEFFXXX,11227.14,Refund 2024459,"Kirchweg 987, 83375 Valencia",Kaufland Romania
Maximilian Romano,CH5604835012345678009,POFICHBEXXX,13656.39,Support 2024357,"Calea Victoriei 48, 18014 Eindhoven",Aldi
Koch Logistics,NL02ABNA0123456789,INGBNL2AXXX,22474.78,Consulting 2025396,"Calle Mayor 6, 42496 Berlin",Kaufland Romania
Maximilian Mueller,RO09BCYP0000001234567890,INGBROBU,2844.30,Contract 2025583,"Via Milano 762, 57610 Geneva",El Corte Inglés
Brown Partners,FR7612548029989876543210843,CEPAFRPP415,12697.27,Fee 2026980,"Plaza de España 31, 34126 Cluj-Napoca",Monoprix
Colombo Enterprises,RO66BRDE410SV38975310410,RNCBROBU,972.16,Consulting 2025168,"Rue du Commerce 5, 22391 Paris",Carrefour Italia
Alessandro Williams,ES7921000813610123456789,BSCHESMM,21883.30,Commission 2024961,"Kirchweg 346, 52991 Antwerp",Coop Schweiz
Michel Tudor,NL02ABNA0123456789,INGBNL2AXXX,18157.65,Order 2026111,"Kirchweg 513, 11494 Rotterdam",Auchan
Lukas Marin,CH5604835012345678009,POFICHBEXXX,9831.60,Commission 2026292,"Calle Mayor 840, 58956 Bologna",Penny
Russo Solutions,CH9300762011623852957,UBSWCHZHXXX,23304.50,Commission 2025802,"Bulevardul Unirii 573, 99127 Frankfurt",Real
Weber Technologies,CH5604835012345678009,POFICHBEXXX,7935.38,Order 2024368,"Kirchweg 534, 91758 Florence",Spar
Popa Systems,FR7630006000011234567890189,SOGEFRPPXXX,9580.48,Credit Note 2026927,"Calle Mayor 59, 89222 Venice",Esselunga
John Bianchi,RO09BCYP0000001234567890,BCYPROBUXXX,33982.40,Support 2026780,"Main Street 438, 50343 Madrid",Plus
Paul Rossi,IT28W8000000292100645211111,INTESA,33803.99,Bonus 2025361,"Hauptstrasse 760, 79758 Florence",Dia
Richter Systems,FR7630006000011234567890189,CRLYFRPPXXX,6048.11,License 2025050,"Schulstrasse 843, 77800 Eindhoven",Mercadona
Elias Weber,NL91ABNA0417164300,RABONL2UXXX,37149.47,Support 2024411,"Bahnhofstrasse 227, 56413 Amsterdam",Real
Laura Rossi,AT611904300234573201,GIBAATWWXXX,43017.23,Credit Note 2024911,"Park Road 684, 83735 Madrid",Spar
John Dubois,ES9121000418450200051332,CAIXESBBXXX,21648.59,Support 2025494,"Station Road 904, 15655 Barcelona",Edeka
Sarah Constantinescu,RO66BRDE410SV38975310410,BCYPROBUXXX,25611.80,Order 2024044,"Manor Road 100, 55820 Valencia",Edeka
Jose Richter,NL02ABNA0123456789,ABNANL2AXXX,6770.73,License 2025552,"Kirchweg 636, 20856 Bordeaux",Esselunga
Elias Constantinescu,ES9121000418450200051332,SABSESMMXXX,18635.02,Maintenance 2024302,"Park Avenue 6, 52180 Frankfurt",El Corte Inglés
Popa Group,ES1000492352082414205416,SABSESMMXXX,38201.43,Refund 2026817,"Calea Victoriei 175, 34330 Vienna",Auchan
Johnson Industries,ES9121000418450200051332,SABSESMMXXX,3807.38,Credit Note 2025566,"Avenue des Champs 31, 40591 Lille",Rewe
Constantinescu Solutions,DE91100000000123456789,COBADEFFXXX,1348.15,License 2024309,"Avenue des Champs 573, 91914 Florence",Mega Image
Finn Schmidt,BE71096123456769,GEBABEBB,21188.47,Subscription 2024990,"Gartenstrasse 438, 93085 Cologne",Auchan
Richard Colombo,IT28W8000000292100645211111,BPPIITRRXXX,8592.88,Invoice 2026724,"Via Nazionale 380, 35959 Stuttgart",Lidl
Gonzalez Consulting,BE71096123456769,AXABBE22XXX,30060.02,Maintenance 2025770,"Corso Italia 369, 66853 Malaga",Esselunga
Schulz Corporation,CH5604835012345678009,UBSWCHZHXXX,24240.72,Order 2024662,"Park Road 232, 78004 Lyon",Jumbo
Jose Schneider,NL91ABNA0417164300,INGBNL2AXXX,46327.18,Order 2024417,"Schulstrasse 584, 50257 Cluj-Napoca",Carrefour Romania
Alexandru Ferrari,CH9300762011623852957,CRESCHZZXXX,49330.13,License 2024738,"Calle Real 429, 45737 Antwerp",Dia
Alexander Weber,BE68539007547034,GKCCBEBB,40253.67,Credit Note 2024074,"Calea Victoriei 729, 87257 Florence",Albert Heijn
Johnson Technologies,IT40S0542811101000000123456,BCITITMM,4108.16,Commission 2025041,"Avenida Principal 212, 54812 Dresden",Jumbo
Philippe Russo,AT611904300234573201,GIBAATWWXXX,5118.88,Support 2026099,"Via Nazionale 386, 28969 Brussels",El Corte Inglés
Rodriguez Solutions,ES1000492352082414205416,BSCHESMM,30852.42,Order 2025352,"Park Avenue 797, 99288 Milan",Leclerc
Ion Richter,RO66BRDE410SV38975310410,RNCBROBU,30736.85,Services 2025076,"Via Milano 620, 26537 Valencia",Rewe
Adrian Russo,CH5604835012345678009,CRESCHZZXXX,41220.86,Contract 2026940,"Avenida Principal 630, 97761 Rotterdam",Spar
Richard Williams,RO76BTRL01304205R50067XX,RNCBROBU,42630.75,Subscription 2024278,"Rue de la Paix 821, 68283 Berlin",Alcampo
Constantinescu KG,CH9300762011623852957,CRESCHZZXXX,30579.07,Refund 2024157,"Schulstrasse 773, 11163 Stuttgart",Rewe
Marco Martin,AT611904300234573201,RLNWATWWXXX,47612.18,Salary 2024305,"Bulevardul Unirii 438, 29899 Utrecht",Dia
Dumitrescu Holdings,IT40S0542811101000000123456,BPPIITRRXXX,29374.35,Maintenance 2025196,"Bulevardul Unirii 467, 87865 Lille",Penny
Fischer Services,FR7630006000011234567890189,AGRIFRPPXXX,36783.92,Retainer 2026014,"Kirchweg 929, 99679 Rome",Aldi
Jacques Tudor,AT483200000012345864,BKAUATWWXXX,185.23,Order 2024584,"Hauptstrasse 782, 73017 Barcelona",Migros
Francois Dumitrescu,FR7612548029989876543210843,CEPAFRPP415,15805.37,Services 2026789,"Strada Principala 313, 80850 Lyon",El Corte Inglés
Noah Petit,ES1000492352082414205416,POPUESMM,20458.08,Payment 2024670,"Via Milano 543, 18812 Marseille",Lidl
Daniela Richter,ES9121000418450200051332,BBVAESMM,9974.94,Support 2024104,"Rue de la Paix 595, 64161 Zurich",Mercadona
Sophie Thomas,CH9300762011623852957,CRESCHZZXXX,9923.46,Subscription 2024419,"Main Street 564, 18290 Zurich",Coop
Sarah Fischer,CH9300762011623852957,UBSWCHZHXXX,15047.56,Credit Note 2026532,"Green Lane 318, 64886 Cologne",Mercadona
Lena Gheorghiu,NL02ABNA0123456789,INGBNL2AXXX,14469.10,Order 2025296,"Calle Real 198, 21576 Nice",Migros
Alain Romano,ES9121000418450200051332,CAIXESBBXXX,34842.00,Credit Note 2024177,"Station Road 164, 38020 Bilbao",Carrefour Italia
Maria Dubois,CH5604835012345678009,CRESCHZZXXX,30118.26,Subscription 2024527,"Via Nazionale 435, 27689 Seville",Monoprix
James Rossi,IT40S0542811101000000123456,BCITITMM,31471.82,Consulting 2025762,"Rue du Commerce 443, 94214 Seville",Monoprix
David Colombo,CH5604835012345678009,UBSWCHZHXXX,31859.62,Order 2024231,"Park Road 786, 27639 Bordeaux",Casino
Clara Barbu,RO09BCYP0000001234567890,INGBROBU,27045.56,Consulting 2026555,"Calle Mayor 28, 92264 Rotterdam",Penny
Francisco Rodriguez,IT40S0542811101000000123456,INTESA,9662.51,License 2026843,"Calle Real 864, 12153 Milan",Casino
Lukas Weber,AT483200000012345864,BKAUATWWXXX,28679.28,Credit Note 2024285,"Church Road 394, 46257 Cologne",Aldi
Maximilian Russo,DE91100000000123456789,INGDDEFFXXX,16962.83,Contract 2025616,"Bulevardul Unirii 277, 45023 Eindhoven",Real
Alessandro Rossi,DE27100777770209299700,COBADEFFXXX,49085.32,License 2024481,"Hauptstrasse 189, 37392 Valencia",Leclerc
Andrei Romano,BE68539007547034,GKCCBEBB,19466.54,Support 2026212,"Schulstrasse 514, 52628 Berlin",Kaufland Romania
Francesco Klein,BE71096123456769,AXABBE22XXX,42631.53,Maintenance 2025584,"Via Roma 125, 57518 Lyon",Kaufland
Schneider Logistics,RO09BCYP0000001234567890,BRDEROBUXXX,44761.68,Services 2024008,"Green Lane 618, 54152 Lyon",Casino
Alexandru Miller,BE71096123456769,GEBABEBB,30744.49,Consulting 2025611,"Victoria Street 964, 40489 Turin",Rewe
Stan Group,RO49AAAA1B31007593840000,BRDEROBUXXX,15354.65,Consulting 2026241,"Station Road 860, 84915 Bologna",Lidl
Giuseppe Klein,ES9121000418450200051332,SABSESMMXXX,8446.22,Advance 2025451,"Plaza de España 791, 76834 Zurich",Coop Schweiz
Maximilian Ferrari,CH5604835012345678009,CRESCHZZXXX,19998.14,Credit Note 2026064,"Calle Real 652, 43104 Marseille",Jumbo
Alain Tudor,AT611904300234573201,GIBAATWWXXX,12458.62,Consulting 2024801,"Via Roma 235, 60586 Bucharest",Mercadona
Noah Schmidt,BE68539007547034,KREDBEBB,17027.10,Credit Note 2026133,"Kirchweg 547, 47150 Cluj-Napoca",Dia
Durand Services,NL02ABNA0123456789,INGBNL2AXXX,20542.91,Salary 2026441,"Kirchweg 135, 11136 Lille",Mercadona
Klein International,IT60X0542811101000000123456,UNCRITMM,47214.73,Contract 2025818,"High Street 682, 45745 Vienna",Carrefour
Marian Schaefer,BE71096123456769,GEBABEBB,27337.39,Contract 2024911,"Victoria Street 205, 92981 Munich",El Corte Inglés
Gabriela Dubois,NL91ABNA0417164300,INGBNL2AXXX,34241.44,Salary 2025043,"Station Road 529, 51845 Cluj-Napoca",Albert Heijn
Martinez KG,DE44500105175407324931,DEUTDEFFXXX,22848.57,License 2026439,"Hauptstrasse 814, 30359 Barcelona",Aldi
Alessandro Klein,FR1420041010050500013M02606,SOGEFRPPXXX,8407.41,Retainer 2024180,"High Street 784, 72000 Seville",Spar
